Dato 2024,Festival,By / Sted,URL,Bemærk,Størrelse (anslået),,
,,,,,,,
Januar,,,,,,,
6/1,Foxtail Festival - Snowfox,København,https://www.facebook.com/foxtailfestival/,,1,,
12-13/1,Epic Fest,Roskilde,,,1,,
20/1,Indisciplinarian Fest,København,,,1,,
20/1,Megamix,Hammel,https://www.facebook.com/events/hammel-idr%C3%A6tscenter/megamix-2024-hammel-20012024/862838052146815/,,1,,
,,,,,,,
Februar,,,,,,,
1-3/2,Folk & Fæstival,Esbjerg,https://folkogfaestival.dk/,,2,,
1-3/2,Northern Winter Beat,Aalborg,https://www.winterbeat.dk/,,1,,
1-25/2,Vinter Jazz,Danmark,https://jazz.dk/vinterjazz-2024/forside/,,2,,
2-3/2,Sorte Firkant Musikfestival ,København,https://www.stengade.dk/show/2024/2/2/sorte-firkant-musikfestival,,1,,
8-11/2,Strib Vinter Festival,Strib/Middelfart,https://guf-stribvinterfestival.dk/svf/,,2,,
9-10/2,Anthem of the Awakened,Fredericia,https://gimle.dk/event/twodaysaota/,,1,,
10/2,Relevance,København,https://www.relevancefestival.dk/,,1,,
17/2,White wonderworld,Brøndby,https://whitewonderworld.dk/,,1,,
,,,,,,,
Marts,,,,,,,
1-2/3,Viborg Metal Festival,Viborg,https://www.viborgmetalfestival.dk/,,2,,
1-2/3,Back to the Roots,Rinkenæs,https://bttr.dk/,,2,,
2/3,Centrum Vest,Brabrand,https://www.centrumvest.dk/,,1,,
9/3,Struer's Fedeste Indendørs Musik Festival,Struer,https://struerenergiparkevents.dk/tc-events/early-bird-musik-festival-2024/,,1,,
15-17/3,Latin Vibes Festival,København,https://www.facebook.com/latinvibesdk/,,2,,
16/3,Bassfest,Aalborg,https://akkc.dk/arrangementer/musik-teater/koncert/bassfest/,,1,,
27/3,Tam Tam,Brøndby,https://www.facebook.com/tamtam.dk/,,1,,
,,,,,,,
April,,,,,,,
19-20/4,Devil Cook Festival,Aalborg,,,1,,
20-21/4,Tivoli Gospel Festival,København,https://www.facebook.com/events/941522586854657,,1,,
26-27/4,Himmelflugt Festival,København,https://www.facebook.com/events/1076307356880444/1076307366880443/,,1,,
,,,,,,,
Maj,,,,,,,
3-4/5,Spot Festival,Århus,https://spotfestival.dk/,,3,,
4/5,Folkets Festival,København,https://www.folketsfestival.com/,,1,,
10-11/5,Nordic Noise,København,https://nordicnoise.dk/,,2,,
10-11/5,Dark Mental Festival,København,https://www.facebook.com/events/1506750930094020,,1,,
16-18/5,A Colossal Weekend,København,https://www.acolossalweekend.dk/tickets,,1,,
17-18/5,Surround Festival,Roskilde,https://surroundfestival.dk/,,1,,
?,Aabenraa Musikfestival,Aabenraa,https://www.aabenraamusikfestival.dk/,Formodet død,1,,
17-18/5,Heavy Agger Metal Festival,Agger ,https://heavyagger.dk/,,2,,
17-18/5,Mekkaval,Odense,https://www.facebook.com/metalmekka/,,1,,
17-19/5,Svendborgsund Dansktopfestival,Svendborg ,https://dansktopfestival.dk/,,2,,
?,Gennem Porten,Albertslund,https://www.porten.dk/events/gennem-porten-festivalen,,1,,
19/5,Whitsun,Lolland ,https://whitsun.dk/,,1,,
22-26/5,Spor Festival,Århus,https://www.sporfestival.dk/,,2,,
